firstName,lastName,userName,email,dateOfBirth,mobileNumber,password
Stephen,Rodriguez,StephenRodriguez,Stephen.Rodriguez@gmail.com,2002-08-30,567.986.3589x774,jg#5C+Sz
Monica,Lee,MonicaLee,Monica.Lee@gmail.com,1997-09-14,637.596.5473,*&FI#6Xy
Robert,Smith,RobertSmith,Robert.Smith@gmail.com,1994-06-10,(567)562-9141,@%5b7Cw5
Paul,Cook,PaulCook,Paul.Cook@gmail.com,1994-08-01,(643)250-4651,@0cFN7mw
Whitney,Rivera,WhitneyRivera,Whitney.Rivera@gmail.com,2005-06-13,918-544-8973,_&3PkCjz
Melissa,Gutierrez,MelissaGutierrez,Melissa.Gutierrez@gmail.com,2000-08-31,798.307.5391x3175,$m!H7F_o
Laurie,Rose,LaurieRose,Laurie.Rose@gmail.com,2004-01-31,443-287-7909x2590,b1(5Ei+u
Carlos,Williams,CarlosWilliams,Carlos.Williams@gmail.com,1996-09-22,194-482-2992,@3VUc@aK
William,Warren,WilliamWarren,William.Warren@gmail.com,2002-12-30,+1-777-705-9073x279,d&JG0Ebe
Lisa,Taylor,LisaTaylor,Lisa.Taylor@gmail.com,1997-10-22,819-587-1691,$+p4wWwu
Jessica,Maldonado,JessicaMaldonado,Jessica.Maldonado@gmail.com,1996-03-23,6808138346,*57@SnUx
Roger,Parsons,RogerParsons,Roger.Parsons@gmail.com,2006-06-22,381.429.0684,@IX1kUln
Nicole,Stephenson,NicoleStephenson,Nicole.Stephenson@gmail.com,2000-03-10,(872)205-2939,k^%O!9Nu
Jesus,Daniels,JesusDaniels,Jesus.Daniels@gmail.com,2007-09-04,786.697.6215x180,+0xE63Mv
